aX,aY,aZ,gX,gY,gZ
-0.070,0.998,0.047,1.831,-3.906,-0.427
-0.076,0.998,0.062,2.502,-4.150,1.648
-0.074,0.987,0.071,2.075,-3.784,2.075
-0.075,0.987,0.081,1.099,-3.235,1.953
-0.070,0.977,0.073,0.366,-2.014,1.526
-0.068,0.975,0.079,-0.977,-1.587,0.977
-0.068,0.977,0.086,-1.770,-1.343,0.366
-0.066,0.977,0.083,-2.014,-1.099,0.061
-0.063,0.974,0.076,-2.136,-0.916,-0.427
-0.062,0.976,0.067,-2.502,-0.977,-0.488
-0.062,0.979,0.060,-2.930,-1.038,-0.549
-0.062,0.980,0.059,-3.784,-1.038,-0.488
-0.067,0.988,0.063,-4.089,-0.610,-0.244
-0.068,0.989,0.065,-3.662,0.061,-0.244
-0.070,0.996,0.068,-3.479,0.244,-0.366
-0.068,0.998,0.065,-3.418,0.183,-0.305
-0.069,0.998,0.062,-2.930,0.122,-0.366
-0.069,0.998,0.057,-2.319,0.122,-0.061
-0.067,0.997,0.053,-1.770,0.244,0.244
-0.067,0.994,0.049,-1.404,0.061,0.610
-0.067,0.993,0.049,-1.221,-0.122,0.977
-0.062,0.992,0.056,-0.793,-0.183,1.282
-0.063,0.989,0.059,-0.244,-0.610,1.404
-0.062,0.987,0.063,0.122,-0.916,1.465
-0.061,0.988,0.062,-0.183,-1.038,1.465
-0.062,0.989,0.060,-0.488,-0.977,1.404
-0.060,0.987,0.062,-0.732,-1.038,1.282
-0.063,0.988,0.062,-0.610,-0.732,0.916
-0.069,0.979,0.047,-0.183,-0.305,0.916
-0.069,0.974,0.048,-0.244,-0.488,0.793
-0.070,0.972,0.052,-0.183,-0.671,0.488
-0.072,0.973,0.051,0.122,-0.793,0.061
-0.076,0.977,0.048,0.610,-0.916,-0.305
-0.077,0.983,0.052,1.160,-1.038,-0.671
-0.076,0.987,0.054,1.160,-1.099,-0.854
-0.076,0.992,0.053,0.793,-0.732,-0.732
-0.077,0.996,0.049,0.427,-0.732,-0.610
-0.075,0.998,0.041,0.061,-0.793,-0.488
-0.069,0.999,0.041,0.061,-0.854,-0.122
-0.066,0.999,0.041,0.305,-0.671,0.305
-0.065,0.999,0.041,0.610,-0.488,0.732
-0.064,0.995,0.049,0.671,-0.427,1.099
-0.065,0.995,0.056,0.732,-0.671,1.465
-0.068,0.994,0.066,0.244,-0.732,1.587
-0.068,0.990,0.070,0.061,-0.610,1.709
-0.070,0.983,0.074,0.183,-0.244,1.709
-0.071,0.979,0.071,-0.183,0.183,1.404
-0.073,0.975,0.060,-0.793,0.549,0.977
-0.075,0.976,0.051,-1.160,0.549,0.732
-0.076,0.978,0.043,-1.282,0.183,0.793
-0.073,0.977,0.035,-1.343,-0.061,0.793
-0.072,0.976,0.034,-0.916,-0.305,0.732
-0.074,0.979,0.040,-0.793,-0.366,0.793
-0.072,0.982,0.047,-1.099,-0.610,0.977
-0.071,0.982,0.059,-1.709,-0.732,0.916
-0.071,0.984,0.069,-1.953,-0.916,0.671
-0.070,0.987,0.071,-1.770,-0.610,0.061
-0.070,0.991,0.057,-0.916,-0.488,-0.122
-0.071,0.990,0.049,-0.854,-0.427,0.000
-0.071,0.990,0.044,-0.671,-0.549,0.366
-0.073,0.986,0.036,-0.732,-0.732,0.427
-0.072,0.987,0.037,-1.221,-0.916,0.671
-0.072,0.985,0.043,-0.916,-1.099,0.793
