aX,aY,aZ,gX,gY,gZ
-0.945,0.130,-0.250,6.165,8.789,0.305
-0.948,0.129,-0.249,4.089,9.949,-1.038
-0.948,0.131,-0.241,3.357,10.559,-1.953
-0.943,0.135,-0.226,2.747,10.071,-2.319
-0.949,0.141,-0.210,1.587,7.935,-2.625
-0.962,0.151,-0.191,-0.122,5.188,-2.197
-0.980,0.158,-0.166,-0.854,2.808,-1.465
-0.993,0.169,-0.149,-1.038,0.977,-0.122
-1.001,0.176,-0.134,-0.793,-0.427,0.549
-1.004,0.178,-0.134,-1.587,-1.343,0.488
-1.002,0.176,-0.141,-3.113,-2.136,-0.183
-0.995,0.174,-0.154,-3.906,-2.625,-0.427
-0.989,0.170,-0.175,-3.540,-3.296,-0.427
-0.978,0.162,-0.196,-2.502,-3.723,-0.244
-0.964,0.149,-0.214,-1.038,-3.784,0.427
-0.957,0.139,-0.236,-0.183,-3.662,1.099
-0.951,0.138,-0.247,-0.122,-2.869,0.916
-0.949,0.137,-0.249,-0.732,-1.221,0.916
-0.947,0.133,-0.243,-2.075,1.160,0.854
-0.945,0.131,-0.231,-3.174,3.296,1.221
-0.944,0.127,-0.219,-2.686,4.639,2.075
-0.947,0.127,-0.209,-0.854,4.883,3.174
-0.955,0.126,-0.200,1.343,4.761,4.639
-0.970,0.128,-0.185,3.113,6.287,4.700
-0.969,0.128,-0.186,4.028,6.531,4.150
-0.967,0.135,-0.187,4.517,6.287,3.479
-0.965,0.134,-0.193,3.967,6.531,2.869
-0.960,0.135,-0.199,2.686,6.592,2.014
-0.958,0.136,-0.209,2.014,6.714,1.709
-0.955,0.140,-0.207,2.075,7.019,1.587
-0.952,0.141,-0.205,2.380,7.996,1.770
-0.945,0.142,-0.198,1.587,8.667,2.075
-0.939,0.137,-0.194,0.061,7.874,2.075
-0.941,0.135,-0.204,-1.099,6.409,1.892
-0.943,0.139,-0.210,-1.404,4.395,2.136
-0.952,0.142,-0.216,-0.366,2.991,2.380
-0.959,0.144,-0.198,0.122,2.380,2.563
-0.968,0.144,-0.183,0.000,3.235,2.258
-0.969,0.145,-0.169,0.366,3.662,1.831
-0.969,0.149,-0.169,0.488,3.052,1.160

0.110,-0.152,2.344,-38.147,-113.953,-4.395
0.115,-0.161,2.337,-47.180,-137.451,-10.376
0.165,-0.149,2.347,-57.556,-160.095,-16.846
0.255,-0.132,2.435,-67.261,-180.664,-21.729
0.272,-0.140,2.467,-75.073,-198.486,-23.804
0.299,-0.118,2.475,-82.031,-216.309,-25.513
0.364,-0.057,2.561,-85.815,-239.441,-27.649
0.357,-0.047,2.572,-86.060,-270.874,-27.832
0.390,-0.044,2.468,-82.947,-307.495,-27.405
0.407,0.030,2.321,-75.439,-343.140,-27.527
0.401,0.055,2.084,-65.125,-372.864,-27.771
0.388,0.085,1.818,-61.951,-396.362,-27.222
0.405,0.164,1.674,-65.186,-414.673,-25.391
0.379,0.102,1.463,-67.383,-430.908,-22.400
0.369,0.068,1.176,-70.557,-448.364,-21.851
0.380,0.094,0.892,-67.993,-462.708,-25.879
0.397,0.158,0.646,-57.129,-467.651,-31.860
0.439,0.301,0.553,-44.739,-463.867,-33.997
0.441,0.288,0.387,-35.828,-455.688,-31.250
0.490,0.270,0.178,-36.987,-452.271,-24.597
0.562,0.365,0.052,-38.696,-452.637,-17.029
0.598,0.372,-0.082,-33.325,-445.496,-8.667
0.568,0.331,-0.346,-31.738,-433.655,0.671
0.598,0.329,-0.584,-39.612,-423.462,9.949
0.630,0.283,-0.849,-46.997,-407.654,14.587
0.606,0.192,-1.142,-54.138,-381.470,17.151
0.592,0.132,-1.404,-62.012,-346.802,22.217
0.562,0.001,-1.635,-64.758,-306.885,26.855
0.505,-0.191,-1.879,-63.049,-267.517,31.372
0.492,-0.300,-2.108,-61.707,-228.210,38.086
0.508,-0.461,-2.380,-56.274,-179.993,44.739
0.534,-0.578,-2.762,-56.274,-114.929,50.659
0.365,-0.600,-2.898,-78.064,-28.198,56.763
-0.114,-0.394,-2.239,-99.426,45.776,62.866
-0.451,-0.358,-1.284,-59.265,59.448,57.983
-0.706,-0.307,-0.462,18.066,53.467,43.152
-1.058,-0.153,0.077,86.487,54.382,34.424
-1.262,-0.112,0.396,126.526,48.706,22.766
-1.333,-0.081,0.497,114.685,25.269,4.028
-1.265,-0.003,0.410,66.895,-7.202,-15.930
