aX,aY,aZ,gX,gY,gZ
0.306,0.102,0.922,2.258,3.723,0.854

0.658,-0.762,-2.503,-89.417,-23.010,-58.899
0.810,-0.822,-2.990,-62.683,29.968,-88.440
0.993,-0.873,-3.273,-30.457,141.785,-118.469
1.252,-0.853,-3.226,-0.916,279.175,-142.212
1.625,-0.843,-2.955,31.067,413.208,-158.752
1.960,-0.909,-2.474,72.266,521.729,-167.297
2.153,-0.953,-1.927,123.535,601.868,-167.969
2.267,-0.994,-1.420,181.519,661.865,-164.612
2.408,-0.865,-0.847,239.502,703.491,-162.048
2.719,-0.524,-0.057,293.091,725.342,-161.316
2.933,-0.469,1.447,348.389,714.172,-152.832
2.675,-0.438,2.516,365.845,684.082,-107.971
2.449,-0.091,3.170,298.706,645.813,-52.246
2.287,0.362,4.000,217.529,607.117,-23.010
2.054,0.502,4.000,118.347,541.443,16.296
1.855,0.645,4.000,27.954,481.934,36.011
1.447,0.594,4.000,-38.452,401.062,66.040
0.900,0.542,4.000,-119.324,274.658,75.928
0.690,0.563,4.000,-169.861,157.349,58.655
0.480,0.249,4.000,-154.907,108.215,36.438
0.467,0.578,2.697,-101.074,134.888,31.372
0.229,0.427,2.605,-121.521,41.626,32.104
0.136,0.355,2.127,-132.202,-1.526,33.325
0.011,0.291,1.769,-143.433,-22.095,31.433
-0.118,0.268,1.875,-143.250,-26.794,29.053
-0.159,0.044,1.628,-112.305,-0.549,23.071
-0.179,-0.064,1.247,-68.909,35.522,21.362
-0.194,-0.149,1.174,-59.875,39.490,16.113
-0.201,-0.224,1.104,-54.871,36.255,11.597
-0.208,-0.258,1.006,-34.424,35.278,8.545
-0.170,-0.237,0.854,-15.503,30.762,3.845
-0.072,-0.158,0.836,-1.099,17.822,-2.136
-0.114,-0.210,0.877,14.587,-1.404,-10.742
0.017,-0.041,0.917,13.306,6.470,-20.508
0.118,0.130,0.916,23.621,20.630,-23.132
0.136,0.169,0.731,42.786,31.128,-29.785
0.141,0.278,0.745,36.316,19.043,-32.837
0.182,0.337,0.916,28.870,-1.709,-34.119
0.232,0.367,1.039,36.194,-2.808,-31.189
0.245,0.377,0.981,41.931,4.761,-26.306
0.226,0.396,0.934,37.781,8.545,-19.592
0.217,0.346,0.871,25.391,5.432,-13.489
0.255,0.316,0.869,8.728,-3.235,-6.042
0.260,0.266,0.804,-7.568,-20.630,-2.686
0.303,0.229,0.773,-28.992,-46.936,-2.197
0.308,0.226,0.757,-50.110,-88.257,-2.869
0.223,0.190,0.845,-60.425,-125.671,-9.216
0.099,0.211,0.854,-79.834,-131.104,-18.921
0.089,0.223,0.969,-87.341,-89.355,-28.015
0.111,0.204,1.003,-57.434,-38.940,-30.701
0.112,0.247,0.981,-20.935,-3.967,-28.809
0.103,0.294,1.030,1.526,16.602,-26.245
0.073,0.374,1.117,11.414,24.963,-21.545
0.071,0.404,1.139,15.747,33.081,-16.846
0.056,0.384,1.115,18.555,35.095,-9.888
0.069,0.354,1.031,14.709,33.508,-4.639
0.094,0.323,0.973,2.991,27.100,-2.502
0.106,0.267,0.926,-7.629,18.616,-2.136
0.122,0.220,0.890,-14.709,15.320,-1.953
0.134,0.192,0.861,-18.127,14.160,-1.709
0.128,0.164,0.873,-14.099,14.099,-0.549
0.138,0.180,0.906,-4.822,18.982,0.977
0.144,0.213,0.948,6.775,25.024,3.052
0.142,0.220,0.908,14.648,28.320,3.601
0.124,0.294,0.990,13.855,27.832,2.197
0.126,0.289,0.984,7.996,23.987,-1.465
0.146,0.289,0.933,1.892,17.639,-2.991
0.129,0.276,0.938,-4.333,5.920,-4.700
0.140,0.248,0.909,-7.080,0.671,-5.310
0.152,0.253,0.875,-7.507,-0.854,-4.578
0.162,0.244,0.887,-8.362,-2.258,-4.517
0.148,0.242,0.924,-9.460,-1.648,-5.066
0.157,0.249,0.913,-7.874,1.648,-4.456
0.159,0.253,0.925,-7.141,4.761,-4.211
0.157,0.263,0.932,-7.202,6.653,-4.395
0.155,0.275,0.940,-4.272,8.423,-4.089
0.158,0.283,0.925,-0.488,9.277,-3.174
0.158,0.288,0.929,1.648,8.911,-2.808
0.150,0.283,0.931,2.502,7.568,-2.075
0.142,0.267,0.938,1.160,5.432,-1.404
0.149,0.255,0.925,-0.427,2.625,-1.221
0.145,0.242,0.931,-2.625,0.427,-1.831
0.139,0.231,0.923,-4.028,0.000,-3.113
0.140,0.232,0.895,-2.991,0.977,-4.150
0.148,0.240,0.888,-0.549,1.709,-4.333
