aX,aY,aZ,gX,gY,gZ
-0.175,-1.004,-0.102,-4.150,-0.427,1.221
-0.175,-1.005,-0.098,-3.967,-0.122,1.038
-0.175,-1.007,-0.092,-3.296,0.000,0.610
-0.175,-1.006,-0.088,-2.869,0.122,0.366
-0.176,-1.004,-0.086,-2.502,0.366,0.061
-0.174,-1.002,-0.088,-2.075,0.793,-0.183
-0.171,-1.001,-0.091,-1.770,0.977,-0.488
-0.169,-1.001,-0.096,-1.221,1.038,-0.610
-0.167,-1.002,-0.098,-0.916,1.160,-0.916
-0.168,-1.005,-0.096,-0.977,1.099,-1.099
-0.165,-1.001,-0.095,-1.343,0.916,-1.221
-0.163,-1.001,-0.096,-1.526,0.488,-1.160
-0.166,-0.999,-0.095,-1.343,0.061,-1.160
-0.170,-0.996,-0.087,-0.977,-0.427,-1.221
-0.175,-0.990,-0.083,-0.732,-0.488,-0.916
-0.179,-0.985,-0.087,-0.549,-0.244,-0.427
-0.179,-0.983,-0.089,-0.549,0.122,0.000
-0.183,-0.986,-0.086,-0.305,0.183,0.366
-0.182,-0.996,-0.086,0.183,0.671,0.732
-0.178,-1.001,-0.090,0.122,0.793,0.793
-0.180,-1.005,-0.089,-0.305,0.671,0.793
-0.180,-1.010,-0.088,-0.854,0.244,0.244
-0.178,-1.011,-0.081,-1.099,0.122,-0.183
-0.179,-1.008,-0.077,-1.404,0.244,-0.549
-0.177,-1.010,-0.076,-1.282,0.427,-0.488
-0.176,-1.008,-0.078,-0.916,0.183,-0.488
-0.175,-1.008,-0.082,-0.305,0.366,-0.732
-0.173,-1.009,-0.088,-0.183,0.488,-1.038
-0.172,-1.008,-0.098,-0.366,0.732,-1.343
-0.172,-1.005,-0.103,-0.305,0.610,-1.526
-0.172,-1.002,-0.109,-0.244,-0.061,-1.709
-0.172,-0.998,-0.107,-0.488,-0.732,-1.465
-0.178,-0.992,-0.101,-0.732,-1.404,-1.221
-0.180,-0.990,-0.091,-0.916,-1.465,-0.916
-0.181,-0.991,-0.082,-1.282,-1.099,-0.610
-0.182,-0.992,-0.074,-1.404,-0.854,-0.488
-0.181,-0.990,-0.071,-1.526,-0.427,-0.549
-0.181,-0.996,-0.077,-1.831,0.000,-0.549
-0.180,-0.999,-0.084,-1.892,0.549,-0.488
-0.177,-0.999,-0.095,-2.380,0.916,-0.488
-0.175,-0.998,-0.105,-2.747,0.854,-0.488
-0.174,-1.000,-0.108,-2.808,0.671,-0.183
-0.173,-1.000,-0.103,-2.808,0.366,-0.122
-0.175,-1.002,-0.094,-2.258,0.183,-0.183
-0.176,-1.003,-0.086,-1.953,0.305,0.000
-0.177,-1.004,-0.081,-1.831,0.366,-0.061
-0.180,-1.001,-0.076,-1.892,0.427,-0.549
-0.178,-0.999,-0.075,-2.075,0.793,-0.854
-0.176,-0.993,-0.079,-1.770,0.916,-0.977
-0.176,-0.993,-0.082,-0.916,0.793,-0.793
-0.179,-0.996,-0.083,-0.061,0.854,-0.366
-0.178,-0.995,-0.087,-0.061,0.854,0.061
-0.175,-0.995,-0.092,-0.305,0.183,0.244
-0.175,-0.996,-0.095,-0.488,-0.183,0.427
-0.176,-0.996,-0.094,-0.610,-0.366,0.610
-0.176,-1.000,-0.087,-0.671,-0.671,0.549
-0.177,-0.998,-0.073,-1.160,-0.916,0.549
-0.180,-0.998,-0.071,-1.709,-0.488,0.732
-0.177,-0.999,-0.076,-2.014,-0.061,0.671
-0.175,-1.001,-0.081,-1.587,-0.244,0.549
-0.174,-1.001,-0.086,-1.282,-0.061,0.549
-0.173,-1.002,-0.091,-0.916,0.305,0.488

2.102,-2.556,-1.017,70.923,175.964,-123.352
-0.083,-1.492,-0.843,-72.693,94.727,-106.812
-0.371,-0.601,0.284,96.680,-67.932,-31.555
-1.349,-0.113,-0.276,18.921,-45.471,30.823
-0.933,-0.701,-0.530,-54.749,-18.921,8.301
-0.421,-1.414,-0.040,-67.993,-12.451,-28.992
0.002,-1.055,-0.074,-30.518,-17.029,-14.832
0.081,-0.924,-0.027,5.554,-16.357,-14.526
-0.059,-0.864,0.145,17.395,-21.912,-20.142
-0.160,-0.899,0.216,13.977,-18.616,-18.738
-0.185,-0.965,0.123,10.437,-6.836,-17.456
-0.172,-1.011,0.045,5.310,3.418,-13.916
-0.206,-1.037,-0.182,-4.944,10.864,-7.996
-0.221,-1.024,-0.299,-13.184,8.057,-2.197
-0.234,-1.027,-0.248,-13.550,-3.357,4.211
-0.239,-1.052,-0.147,-9.827,-12.634,8.972
-0.235,-1.058,-0.085,-6.104,-15.869,12.390
-0.239,-1.063,-0.030,-0.610,-17.273,13.123
-0.240,-1.070,0.031,6.348,-17.639,11.536
-0.237,-1.061,0.073,11.780,-14.832,8.667
-0.227,-1.102,0.044,12.939,-5.798,4.700
-0.207,-1.049,-0.023,7.935,8.118,0.854
-0.203,-1.014,-0.085,5.798,11.353,-1.404
-0.205,-0.985,-0.101,4.822,9.705,-2.625
-0.203,-0.953,-0.123,4.211,8.484,-2.747
-0.201,-0.950,-0.129,4.761,7.019,-2.319
-0.203,-0.937,-0.125,5.920,4.700,-1.648
-0.201,-0.944,-0.105,6.714,3.052,-1.038
-0.208,-0.939,-0.089,6.226,2.075,-0.427
-0.205,-0.943,-0.079,4.883,1.343,-0.061
-0.203,-0.946,-0.069,3.113,0.366,0.977
-0.208,-0.945,-0.070,1.587,-0.610,2.075
-0.216,-0.952,-0.068,0.183,-1.953,3.357
-0.217,-0.959,-0.075,-1.160,-2.625,4.700
-0.217,-0.976,-0.078,-2.258,-2.991,5.554
-0.217,-0.990,-0.075,-2.930,-2.747,6.287
-0.216,-0.996,-0.077,-3.235,-1.770,6.470
-0.213,-1.003,-0.076,-3.418,-0.732,6.409
-0.211,-1.008,-0.071,-3.296,0.305,5.554
-0.214,-1.010,-0.066,-3.540,1.526,4.211
-0.216,-1.010,-0.066,-3.662,3.052,2.563
-0.216,-1.016,-0.058,-3.296,4.028,1.221
-0.220,-1.021,-0.047,-2.747,4.395,0.366
-0.218,-0.994,-0.062,-2.136,4.517,0.793
-0.213,-1.003,-0.066,-2.502,3.357,-0.305
