aX,aY,aZ,gX,gY,gZ
1.372,0.054,1.942,28.564,141.602,8.728
1.131,0.107,1.760,23.926,121.765,3.235
0.923,0.125,1.681,21.912,97.168,-0.305
0.786,0.176,1.495,16.113,76.416,-1.892
0.630,0.189,1.307,4.211,58.228,1.465
0.504,0.258,1.081,-7.751,36.621,7.324
0.452,0.390,1.115,-21.484,13.123,15.320
0.501,0.466,1.220,-33.081,7.385,14.893
0.567,0.468,0.729,-37.903,28.015,6.409
0.487,0.451,0.980,-47.852,29.297,0.366
0.504,0.494,1.004,-34.668,23.804,3.174
0.581,0.500,0.932,-27.100,21.240,7.141
0.532,0.472,1.131,-25.452,11.292,7.019
0.554,0.434,1.101,-23.926,1.160,0.427
0.531,0.466,1.020,-15.869,-12.512,-5.798
0.468,0.531,1.043,-1.648,-26.184,-2.686
0.431,0.528,0.944,14.099,-34.302,5.920
0.443,0.515,0.829,26.733,-41.992,13.245
0.490,0.485,0.760,34.790,-48.767,18.799
0.504,0.447,0.729,37.659,-50.293,22.644
0.555,0.412,0.681,38.513,-45.898,23.682
0.609,0.376,0.650,36.011,-38.513,23.682
0.638,0.324,0.688,30.701,-30.579,23.132
0.648,0.280,0.713,24.231,-22.156,21.606
0.651,0.252,0.719,19.287,-15.259,19.836
0.662,0.224,0.755,15.381,-12.512,19.043
0.695,0.186,0.807,12.695,-12.146,16.296
0.683,0.169,0.839,10.315,-13.306,10.498
0.644,0.179,0.853,10.010,-17.029,3.174
0.610,0.191,0.835,10.742,-21.179,-3.418
0.569,0.220,0.784,12.268,-23.193,-8.057
0.525,0.241,0.745,15.076,-22.522,-11.597
0.500,0.264,0.701,16.541,-18.433,-13.428
0.476,0.271,0.671,15.869,-13.123,-13.855
0.450,0.271,0.657,13.611,-7.141,-12.146
0.434,0.272,0.675,10.010,-2.869,-9.338
0.443,0.297,0.602,5.005,-1.404,-5.615
0.468,0.337,0.769,-0.244,-2.869,-1.953
0.475,0.260,0.753,-6.042,3.418,0.366
0.487,0.223,0.729,-4.822,6.470,1.160
0.485,0.227,0.787,-2.686,-0.610,1.526
0.488,0.243,0.828,-0.061,-7.874,1.831
0.478,0.246,0.820,1.648,-10.559,1.953
0.474,0.236,0.774,3.845,-12.085,2.014
0.473,0.241,0.747,7.629,-14.709,2.808
0.479,0.242,0.728,9.399,-13.916,4.517
0.489,0.235,0.713,7.690,-10.071,5.676
0.490,0.226,0.737,3.784,-7.080,6.165
0.504,0.226,0.748,0.122,-5.310,6.226
0.510,0.223,0.766,-2.625,-2.197,5.920
0.502,0.220,0.785,-3.479,0.854,5.371
0.499,0.223,0.807,-3.235,2.686,5.005
0.500,0.226,0.830,-2.808,2.625,4.639
0.505,0.227,0.846,-1.343,1.221,3.845
0.519,0.223,0.874,0.854,-0.488,3.357
0.523,0.225,0.881,3.235,-3.845,2.197
0.527,0.229,0.877,5.249,-8.057,0.732
0.522,0.230,0.853,6.958,-11.475,-0.488
0.523,0.231,0.827,9.216,-13.733,-1.160
0.527,0.227,0.803,10.498,-13.855,-1.526
0.523,0.227,0.799,9.338,-12.329,-1.770
0.525,0.235,0.798,7.324,-8.850,-1.831
0.516,0.241,0.814,4.883,-4.822,-1.160
0.501,0.241,0.829,2.380,-0.977,0.610
0.490,0.230,0.837,2.075,2.075,1.770
0.486,0.218,0.844,3.235,4.578,2.014
0.481,0.216,0.852,5.310,6.226,1.404
0.477,0.222,0.850,6.897,6.165,0.549
0.470,0.230,0.849,7.690,4.028,0.061
0.475,0.230,0.854,7.690,0.854,0.183
0.480,0.226,0.841,6.165,-2.258,0.183
0.483,0.227,0.851,4.578,-5.676,-0.183
0.485,0.225,0.831,3.967,-6.897,-0.977
0.477,0.222,0.820,2.747,-6.836,-1.587
0.467,0.228,0.813,2.075,-6.042,-1.709
0.472,0.246,0.814,2.258,-4.517,-1.648
0.469,0.259,0.830,1.709,-2.625,-0.732
0.474,0.266,0.848,-0.549,-1.831,0.854
0.485,0.267,0.866,-2.869,-2.625,2.014
0.493,0.260,0.870,-3.601,-3.113,2.625
0.494,0.257,0.868,-3.052,-3.235,2.808
0.493,0.254,0.857,-1.221,-2.380,2.686
0.490,0.247,0.844,0.793,-1.282,2.441
0.488,0.238,0.830,2.625,-0.610,2.380
0.485,0.236,0.814,3.784,0.244,1.953
0.480,0.235,0.804,3.784,1.221,1.465
0.482,0.240,0.805,2.075,1.587,1.160
0.483,0.248,0.816,0.183,1.038,0.916
0.482,0.247,0.814,-1.221,0.671,0.732
0.483,0.249,0.812,-1.831,0.366,0.610
0.483,0.251,0.817,-1.709,0.610,0.488
0.483,0.251,0.826,-0.916,0.793,0.549
0.487,0.251,0.831,-0.366,0.122,0.366
0.491,0.248,0.843,0.793,-1.465,-0.061

0.228,0.490,-2.063,-100.891,442.688,40.833
0.428,0.528,-1.996,-118.103,484.802,54.688
0.646,0.518,-1.873,-138.672,526.306,67.322
0.891,0.556,-1.701,-163.635,567.444,76.355
1.187,0.552,-1.455,-192.078,604.309,80.872
1.536,0.528,-1.042,-231.689,632.446,80.688
