aX,aY,aZ,gX,gY,gZ
-0.965,-0.354,-0.208,3.723,-4.333,-0.122
-0.950,-0.378,-0.250,3.418,-8.972,2.380
-0.932,-0.400,-0.291,3.479,-9.644,4.395
-0.905,-0.415,-0.321,3.113,-7.507,5.066
-0.877,-0.422,-0.343,2.441,-4.700,5.615
-0.856,-0.420,-0.361,0.000,-2.197,5.127
-0.838,-0.422,-0.371,-2.319,-0.732,3.784
-0.821,-0.419,-0.372,-4.639,0.244,2.136
-0.814,-0.412,-0.370,-6.348,0.732,0.305
-0.809,-0.402,-0.368,-7.446,0.854,-1.770
-0.809,-0.403,-0.364,-7.507,0.488,-2.625
-0.813,-0.403,-0.357,-7.690,1.221,-2.563
-0.817,-0.413,-0.348,-6.958,3.357,-1.892
-0.819,-0.421,-0.339,-5.920,6.775,-0.610
-0.821,-0.425,-0.333,-4.883,10.986,1.404
-0.825,-0.421,-0.327,-4.333,15.442,2.930
-0.824,-0.422,-0.316,-3.357,19.104,4.333
-0.824,-0.425,-0.293,-2.930,21.423,5.005
-0.828,-0.432,-0.259,-2.075,21.912,4.822
-0.835,-0.443,-0.222,-0.366,20.081,3.235
-0.847,-0.450,-0.193,1.282,16.479,0.549
-0.862,-0.452,-0.176,1.892,11.475,-2.869
-0.872,-0.447,-0.172,2.441,5.615,-5.432
-0.883,-0.445,-0.177,2.563,0.977,-7.263
-0.894,-0.443,-0.188,3.418,-1.099,-7.690
-0.902,-0.431,-0.205,5.493,-0.671,-7.141
-0.904,-0.422,-0.223,8.118,1.099,-5.615
-0.903,-0.409,-0.244,9.277,3.174,-4.272
-0.903,-0.399,-0.259,9.827,4.456,-2.625
-0.900,-0.389,-0.269,8.911,5.127,-2.014
-0.897,-0.379,-0.272,7.202,5.249,-2.136
-0.895,-0.369,-0.275,5.615,4.639,-2.563
-0.891,-0.363,-0.275,4.272,3.723,-2.991
-0.886,-0.360,-0.272,2.869,2.808,-3.418
-0.883,-0.363,-0.269,2.197,1.465,-2.930
-0.884,-0.369,-0.266,1.465,0.671,-2.441
-0.883,-0.376,-0.266,1.038,0.366,-1.953
-0.881,-0.384,-0.266,0.732,0.183,-1.343
-0.877,-0.389,-0.265,-0.122,0.366,-0.671
-0.872,-0.395,-0.259,-1.160,0.793,-0.366
-0.869,-0.399,-0.254,-0.977,1.282,0.610
-0.866,-0.405,-0.249,-0.854,1.587,1.221
-0.864,-0.407,-0.247,-0.793,1.465,1.648
-0.860,-0.410,-0.249,-0.427,1.038,1.831
-0.859,-0.412,-0.249,-0.366,0.671,1.831
-0.858,-0.412,-0.257,-0.488,0.610,1.343
-0.859,-0.408,-0.264,0.183,0.549,1.343
-0.860,-0.403,-0.274,0.122,0.793,1.160
-0.860,-0.400,-0.286,-0.916,1.099,0.793
-0.862,-0.394,-0.296,-1.587,1.404,0.366

0.097,-0.003,2.663,-24.475,-151.428,12.024
0.068,0.079,2.761,5.798,-167.419,13.184
-0.012,0.097,2.812,38.147,-182.434,17.822
-0.067,0.180,2.821,74.219,-203.064,26.306
-0.070,0.217,2.789,95.886,-224.915,35.095
-0.044,0.224,2.857,108.276,-249.634,43.884
-0.006,0.236,2.899,113.464,-275.757,50.781
0.012,0.247,2.854,112.244,-302.063,54.932
0.030,0.243,2.694,110.840,-325.134,59.143
0.082,0.243,2.493,114.807,-342.346,64.575
0.147,0.241,2.251,121.399,-347.900,70.801
0.176,0.238,1.993,129.395,-344.360,76.233
0.204,0.216,1.770,137.512,-337.097,77.820
0.220,0.209,1.596,140.869,-329.529,75.562
0.194,0.183,1.505,138.245,-323.792,69.946
0.157,0.186,1.431,133.850,-323.669,61.584
0.164,0.193,1.316,132.141,-331.421,54.810
0.189,0.206,1.207,134.094,-343.262,54.321
0.203,0.220,1.025,138.245,-354.736,58.105
0.266,0.191,0.812,147.766,-365.601,65.735
0.383,0.192,0.634,158.997,-373.230,74.463
0.468,0.181,0.409,169.189,-377.014,78.796
0.562,0.128,0.200,178.650,-379.517,78.247
0.643,0.119,-0.001,183.960,-377.625,75.623
0.700,0.107,-0.252,185.669,-373.596,69.763
0.758,0.077,-0.522,189.392,-368.347,62.195
0.792,0.066,-0.792,193.909,-359.070,54.810
0.782,0.085,-1.069,198.059,-344.238,47.668
0.753,0.141,-1.337,200.012,-327.454,38.574
0.720,0.191,-1.604,196.045,-312.500,28.748
0.704,0.237,-1.873,182.190,-297.058,18.311
0.675,0.285,-2.118,160.767,-271.790,8.118
0.564,0.322,-2.330,134.216,-230.835,-0.977
0.407,0.322,-2.435,104.309,-174.255,-9.216
0.201,0.294,-2.353,69.763,-109.619,-17.273
-0.015,0.242,-2.107,29.053,-46.204,-24.170
-0.210,0.156,-1.737,-16.479,6.836,-29.968
-0.381,0.087,-1.306,-58.716,44.189,-33.386
-0.526,-0.038,-0.845,-81.848,58.289,-34.729
-0.662,-0.144,-0.393,-92.529,44.922,-36.377
-0.778,-0.253,-0.094,-93.201,19.226,-34.485
-0.859,-0.373,0.010,-77.332,-4.700,-27.466
-0.897,-0.478,-0.037,-53.101,-19.226,-16.968
-0.916,-0.537,-0.176,-29.480,-20.325,-4.944
-0.903,-0.561,-0.314,-11.841,-11.353,6.165
-0.884,-0.567,-0.423,-2.869,2.869,15.808
-0.859,-0.562,-0.488,-3.784,20.203,21.790
-0.829,-0.557,-0.505,-9.705,37.720,23.865
-0.796,-0.564,-0.437,-17.639,52.612,22.156
-0.767,-0.564,-0.323,-22.583,58.899,16.296
-0.750,-0.553,-0.198,-22.400,53.528,7.263
-0.743,-0.535,-0.114,-17.944,38.574,-2.563
-0.769,-0.539,-0.093,-10.742,21.240,-11.963
-0.803,-0.548,-0.101,-3.479,8.057,-19.531
-0.834,-0.538,-0.131,2.014,2.747,-23.987
-0.858,-0.521,-0.163,6.592,4.761,-24.902
-0.874,-0.494,-0.160,8.423,10.925,-23.315
-0.897,-0.473,-0.158,5.310,17.761,-20.691
-0.895,-0.448,-0.151,-0.366,23.621,-18.311
-0.890,-0.422,-0.142,-5.127,27.405,-16.174
-0.885,-0.394,-0.124,-8.301,29.358,-14.343
-0.891,-0.367,-0.104,-7.385,29.480,-13.062
-0.904,-0.345,-0.100,-2.502,27.161,-11.719
-0.926,-0.331,-0.119,2.380,22.766,-10.254
-0.925,-0.316,-0.149,4.272,16.907,-8.728
-0.952,-0.326,-0.176,3.296,11.230,-7.141
-0.953,-0.340,-0.215,2.014,6.775,-5.371
-0.939,-0.337,-0.240,2.197,3.662,-3.174
-0.933,-0.338,-0.270,2.380,3.113,-0.793
-0.922,-0.349,-0.290,1.831,3.479,1.282
-0.910,-0.363,-0.302,0.427,3.967,2.380
-0.903,-0.380,-0.301,-1.160,3.723,2.991
-0.899,-0.394,-0.294,-3.235,3.235,2.197
-0.898,-0.406,-0.290,-5.066,2.563,0.610
